epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,491.587,0.95538,0.84829,1.06707,0.85586,0.82203,0.88554,0.66808,0.89219,0.70262,1.11523,0.0003367,0.0003367,0.0003367
69,499.904,0.95297,0.83051,1.06602,0.86189,0.79678,0.87055,0.65754,0.92037,0.74186,1.11252,0.0003268,0.0003268,0.0003268
70,506.151,0.92839,0.81785,1.04176,0.83226,0.8422,0.87285,0.65642,0.8975,0.73079,1.11356,0.0003169,0.0003169,0.0003169
71,514.289,0.94678,0.83662,1.06068,0.8325,0.87748,0.8877,0.65769,0.91732,0.69464,1.12673,0.000307,0.000307,0.000307
72,520.59,0.93045,0.82755,1.0495,0.85592,0.84957,0.88535,0.67384,0.86644,0.69537,1.09031,0.0002971,0.0002971,0.0002971
73,527.308,0.92157,0.80301,1.04739,0.86676,0.84342,0.89576,0.67124,0.86035,0.68759,1.07668,0.0002872,0.0002872,0.0002872
74,535.118,0.91787,0.80711,1.04269,0.8618,0.84962,0.88698,0.68198,0.84479,0.68201,1.07879,0.0002773,0.0002773,0.0002773
75,541.027,0.94037,0.81216,1.04821,0.87007,0.84819,0.90007,0.68811,0.85184,0.66592,1.07098,0.0002674,0.0002674,0.0002674
76,549.614,0.90829,0.80241,1.04073,0.86192,0.86024,0.90782,0.68878,0.83675,0.65697,1.06676,0.0002575,0.0002575,0.0002575
77,555.994,0.92119,0.81237,1.04444,0.86009,0.86719,0.90624,0.69066,0.83757,0.67243,1.07334,0.0002476,0.0002476,0.0002476
78,563.282,0.91191,0.81043,1.04419,0.86343,0.8523,0.90852,0.69302,0.83167,0.68744,1.06971,0.0002377,0.0002377,0.0002377
79,571.275,0.91688,0.80647,1.04081,0.8534,0.85395,0.9037,0.68974,0.83377,0.68475,1.08374,0.0002278,0.0002278,0.0002278
80,577.398,0.90715,0.79332,1.03844,0.85887,0.84703,0.89666,0.67392,0.85008,0.69757,1.08411,0.0002179,0.0002179,0.0002179
81,586.417,0.8941,0.77934,1.03342,0.82103,0.90141,0.90458,0.69177,0.80865,0.67855,1.05449,0.000208,0.000208,0.000208
82,592.352,0.89156,0.77105,1.02792,0.83049,0.89606,0.90227,0.68692,0.8214,0.69456,1.06629,0.0001981,0.0001981,0.0001981
83,599.918,0.86139,0.76975,1.02454,0.84457,0.85775,0.89997,0.68685,0.82669,0.67542,1.07361,0.0001882,0.0001882,0.0001882
84,607.091,0.87526,0.76346,1.03049,0.82227,0.85798,0.89782,0.69368,0.79445,0.65273,1.07075,0.0001783,0.0001783,0.0001783
85,613.41,0.85718,0.75354,1.02852,0.7932,0.86005,0.87857,0.6916,0.76072,0.68648,1.04451,0.0001684,0.0001684,0.0001684
86,622.159,0.88974,0.75576,1.02142,0.80807,0.80941,0.85462,0.67314,0.77152,0.69664,1.05372,0.0001585,0.0001585,0.0001585
87,628.097,0.88048,0.76041,1.01249,0.78704,0.83358,0.86546,0.692,0.75398,0.67477,1.03388,0.0001486,0.0001486,0.0001486
88,636.89,0.87337,0.75362,1.02746,0.78174,0.9334,0.90017,0.69168,0.82896,0.66918,1.05211,0.0001387,0.0001387,0.0001387
89,643.885,0.87719,0.75272,1.02302,0.83879,0.84884,0.89307,0.70962,0.76469,0.64515,1.04468,0.0001288,0.0001288,0.0001288
90,650.785,0.8754,0.75146,1.02214,0.86357,0.8531,0.89981,0.71326,0.74956,0.62532,1.04206,0.0001189,0.0001189,0.0001189
91,661.69,0.82089,0.75597,1.02059,0.85451,0.87908,0.90897,0.70268,0.78433,0.6326,1.0458,0.000109,0.000109,0.000109
92,669.258,0.84068,0.71725,1.01383,0.81827,0.89266,0.89502,0.68878,0.80533,0.66428,1.05929,9.91e-05,9.91e-05,9.91e-05
93,676.487,0.80671,0.68949,1.00888,0.83422,0.89429,0.89129,0.67963,0.80006,0.67028,1.05766,8.92e-05,8.92e-05,8.92e-05
94,682.255,0.80642,0.67865,1.00399,0.83477,0.89375,0.89321,0.66263,0.88779,0.68906,1.09261,7.93e-05,7.93e-05,7.93e-05
95,690.441,0.79377,0.67411,1.00214,0.81977,0.90098,0.89848,0.67919,0.8282,0.66946,1.06183,6.94e-05,6.94e-05,6.94e-05
96,696.496,0.78426,0.66192,1.00026,0.83743,0.9129,0.9123,0.69595,0.79693,0.65145,1.05041,5.95e-05,5.95e-05,5.95e-05
97,703.057,0.78955,0.68268,0.99907,0.84051,0.91143,0.91292,0.70449,0.79291,0.64279,1.04799,4.96e-05,4.96e-05,4.96e-05
98,710.718,0.76611,0.65202,0.98998,0.88097,0.87114,0.91379,0.69792,0.78179,0.64007,1.04183,3.97e-05,3.97e-05,3.97e-05
99,716.444,0.75295,0.65074,0.99069,0.88318,0.86371,0.91114,0.7019,0.76526,0.634,1.03667,2.98e-05,2.98e-05,2.98e-05
100,724.983,0.7752,0.65022,0.98775,0.87053,0.86073,0.90327,0.70405,0.75129,0.62978,1.03151,1.99e-05,1.99e-05,1.99e-05
